,0
0,0.16854864069066064
1,0.11263257196763958
2,0.1382464766587576
3,0.07389725851176353
4,0.04502444183985592
5,0.03033075097910294
6,0.03207455475829736
7,0.020639775878333953
8,0.011291844143963866
9,0.009519453417569539
10,0.009347931734370086
11,0.0072610845887767644
12,0.00891912752637146
13,0.00831880163517338
14,0.009262170892770361
15,0.008861953631971642
16,0.0073182584831765814
17,0.008090106057574112
18,0.007861410479974844
19,0.006832280380778137
20,0.006489237014379234
21,0.007461193219176124
22,0.006603584803178869
23,0.0063748892255796
24,0.005259998284783168
25,0.0054886938623824365
26,0.0060032589119807895
27,0.004974128812784083
28,0.005688802492781796
29,0.004916954918384266
30,0.004859781023984449
31,0.004173694291186645
32,0.004888367971184357
33,0.005202824390383351
34,0.005288585231983076
35,0.005202824390383351
36,0.005631628598381979
37,0.0061176067007804235
38,0.0072610845887767644
39,0.008090106057574112
40,0.007832823532774934
41,0.009176410051170635
42,0.008433149423973014
43,0.009919670678368258
44,0.010863039935965239
45,0.010034018467167892
46,0.011177496355164232
47,0.00829021468797347
48,0.00657499785597896
49,0.004802607129584632
50,0.0035447814527886567
51,0.0020582601983934134
52,0.002029673251193505
53,0.0073182584831765814
54,0.0054886938623824365
55,0.008404562476773106
56,0.0061747805951802405
57,0.00405934650238701
58,0.0032589119807895713
59,0.002286955775992682
60,0.0030016294559903948
61,0.0021440210399931393
62,0.0016008690431948771
63,0.0012864126239958834
64,0.0013721734655956091
65,0.0008861953631971642
66,0.0009147823103970727
67,0.0009433692575969812
68,0.0009147823103970727
69,0.0009147823103970727
70,0.0008576084159972557
71,0.0005145650495983533
72,0.000657499785597896
73,0.0006289128383979875
74,0.0007718475743975301
75,0.0003716303135988108
76,0.0008004345215974386
77,0.0005717389439981705
78,0.0005717389439981705
79,0.0005145650495983533
80,0.0005717389439981705
81,0.0005145650495983533
82,0.0006289128383979875
83,0.0005145650495983533
84,0.0003716303135988108
85,0.000543151996798262
86,0.0004002172607987193
87,0.0003716303135988108
88,0.00045739115519853634
89,0.0004859781023984449
90,0.00042880420799862784
91,0.00025728252479917667
92,0.0003716303135988108
93,0.00022869557759926817
94,0.0003716303135988108
95,0.00022869557759926817
96,0.00042880420799862784
97,0.00025728252479917667
98,0.00017152168319945114
99,0.00017152168319945114
